w,h,x,y,r
100, 100,    0 ,  30,       0
100, 100,  100 ,  30,       0
100, 100,  200 ,  10,       0
100, 100,  300 ,   0,       0
100, 100,  400 ,  10,       0
100, 100,  500 ,  20,       0
 50,  50,  900 , 600,       0
100, 100,    0 , 130,       0
100, 100,  100 , 130,       0
100, 100,  200 , 110,       0
100, 100,  300 , 100,       0
100, 100,  400 , 110,       0
100, 100,  500 , 120,       0
 50,  50,  800 , 600,       0
100, 100,    0 , 230,       0
100, 100,  100 , 230,       0
100, 100,  200 , 210,       0
100, 100,  300 , 200,       0
100, 100,  400 , 210,       0
100, 100,  500 , 220,       0
100, 100,  870 , 320,    30
 50,  50,  850 , 650,       0
100, 100,    0 , 330,       0
100, 100,  100 , 330,       0
100, 100,  200 , 310,       0
125, 100,  300 , 310,       0
100, 100,  710 , 350,    30
100, 100,  800 , 400,    30
 50,  50,  850 , 550,       0
100, 100,  480 , 335,    30
100, 200,  620 , 300,    30
100, 100,  660 , 440,    30
100, 100,  750 , 490,    30
 50,  50,  850 , 600,       0
 50,  50,   50 , 450,       0
 50,  50,  100 , 450,       0
 50,  50,   50 , 525,       0
 50,  50,  100 , 525,       0
 50,  50,  150 , 525,       0
 50,  50,  200 , 525,       0
 50,  50,  250 , 525,       0
 75,  75,  400 , 525,       0
 50,  50, 1000 , 650,       0
100, 100, 1300 ,  20,       0
100, 100, 1400 ,  10,       0
100, 100, 1500 ,   0,       0
100, 100, 1600 ,  10,       0
100, 100, 1700 ,  30,       0
100, 100, 1800 ,  30,       0
 50,  50,  950 , 600,       0
100, 100, 1300 , 120,       0
100, 100, 1400 , 110,       0
100, 100, 1500 , 100,       0
100, 100, 1600 , 110,       0
100, 100, 1700 , 130,       0
100, 100, 1800 , 130,       0
 50,  50, 1050 , 600,       0
100, 100,  960 , 375, -30
100, 100, 1300 , 220,       0
100, 100, 1400 , 210,       0
100, 100, 1500 , 200,       0
100, 100, 1600 , 210,       0
100, 100, 1700 , 230,       0
100, 100, 1800 , 230,       0
 50,  50, 1000 , 550,       0
100, 100, 1020 , 460, -30
100, 100, 1110 , 410, -30
125, 100, 1475 , 310,       0
100, 100, 1600 , 310,       0
100, 100, 1700 , 330,       0
100, 100, 1800 , 330,       0
 50,  50, 1000 , 600,       0
100, 100, 1070 , 550, -30
100, 100, 1160 , 500, -30
100, 200, 1200 , 360, -30
100, 100, 1340 , 395, -30
 75,  75, 1500 , 525,       0
 50,  50, 1600 , 525,       0
 50,  50, 1650 , 525,       0
 50,  50, 1700 , 525,       0
 50,  50, 1750 , 525,       0
 50,  50, 1800 , 525,       0
 50,  50, 1750 , 450,       0
 50,  50, 1800 , 450,       0